m,m/s,km/h,min/km
3695.1,2.9,10.44,5.75
3699.2,3.3,11.88,5.05
3703.7,3.5,12.6,4.76
3708.1,4.1,14.76,4.07
3711.7,4.1,14.76,4.07
3717.4,3.6,12.96,4.63
3722.3,2.8,10.08,5.95
3728.2,2.8,10.08,5.95
3731.2,2.8,10.08,5.95
3736.5,2.8,10.08,5.95
3740.4,3.0,10.8,5.56
3744.2,3.2,11.52,5.21
3747.5,3.3,11.88,5.05
3750.8,3.3,11.88,5.05
3755.2,3.0,10.8,5.56
3761.7,2.8,10.08,5.95
3765.4,2.9,10.44,5.75
3768.9,3.0,10.8,5.56
3773.2,3.0,10.8,5.56
3777.5,2.4,8.64,6.94
3780.6,2.3,8.28,7.25
3786.6,2.7,9.72,6.17
3791.5,2.8,10.08,5.95
3794.7,2.8,10.08,5.95
3800.6,2.8,10.08,5.95
3805.5,2.8,10.08,5.95
3811.6,2.8,10.08,5.95
3814.7,2.8,10.08,5.95
3818.2,2.9,10.44,5.75
3822.3,3.4,12.24,4.9
3830.1,4.1,14.76,4.07
3838.9,5.5,19.8,3.03
3844.7,5.3,19.08,3.14
3850.8,4.1,14.76,4.07
3853.9,3.0,10.8,5.56
3859.7,3.0,10.8,5.56
3863.0,3.1,11.16,5.38
3866.3,3.1,11.16,5.38
3869.6,3.1,11.16,5.38
3873.1,3.2,11.52,5.21
3876.4,3.3,11.88,5.05
3879.6,3.3,11.88,5.05
3882.7,3.3,11.88,5.05
3885.7,3.2,11.52,5.21
3889.3,3.2,11.52,5.21
3892.8,3.3,11.88,5.05
3896.2,3.3,11.88,5.05
3900.0,3.5,12.6,4.76
3905.0,3.9,14.04,4.27
3908.6,3.9,14.04,4.27
3914.3,3.6,12.96,4.63
3920.1,3.0,10.8,5.56
3923.1,2.9,10.44,5.75
3926.3,3.0,10.8,5.56
3929.6,3.1,11.16,5.38
3932.8,3.1,11.16,5.38
3935.8,3.1,11.16,5.38
3938.9,3.2,11.52,5.21
3942.0,3.1,11.16,5.38
3945.0,3.1,11.16,5.38
3950.6,3.0,10.8,5.56
3956.0,2.8,10.08,5.95
3961.3,2.7,9.72,6.17
3967.4,2.8,10.08,5.95
3971.5,3.1,11.16,5.38
3975.8,3.3,11.88,5.05
3981.1,3.3,11.88,5.05
3985.1,3.5,12.6,4.76
3990.2,2.9,10.44,5.75
3994.9,2.8,10.08,5.95
3999.5,2.4,8.64,6.94
4002.9,2.1,7.56,7.94
4006.8,2.4,8.64,6.94
4010.4,1.5,5.4,11.11
4014.0,1.0,3.6,16.67
4019.0,1.7,6.12,9.8
4024.2,2.0,7.2,8.33
4029.0,2.5,9.0,6.67
4036.3,2.9,10.44,5.75
4039.5,3.1,11.16,5.38
4043.3,3.2,11.52,5.21
4049.8,3.5,12.6,4.76
4053.0,3.3,11.88,5.05
4056.9,3.5,12.6,4.76
4060.4,3.4,12.24,4.9
4064.1,3.5,12.6,4.76
4067.1,3.5,12.6,4.76
4072.2,3.1,11.16,5.38
4075.4,3.0,10.8,5.56
4078.9,3.0,10.8,5.56
4082.3,3.0,10.8,5.56
4086.0,3.2,11.52,5.21
4089.3,3.4,12.24,4.9
4093.2,3.6,12.96,4.63
4098.9,3.3,11.88,5.05
4102.2,3.2,11.52,5.21
4105.4,3.2,11.52,5.21
4109.5,3.3,11.88,5.05
4113.6,3.4,12.24,4.9
4117.7,3.8,13.68,4.39
4122.6,4.1,14.76,4.07
4156.2,4.1,14.76,4.07
4161.9,9.7,34.92,1.72
4166.9,9.8,35.28,1.7
4171.0,9.7,34.92,1.72
4174.6,8.7,31.32,1.92
4183.1,4.2,15.12,3.97
4187.6,3.3,11.88,5.05
4190.6,0.5,1.8,33.33
4195.1,0.4,1.44,41.67
4199.8,0.8,2.88,20.83
4203.1,1.3,4.68,12.82
4207.2,1.5,5.4,11.11
4210.8,1.3,4.68,12.82
4214.7,0.5,1.8,33.33
4217.8,0.4,1.44,41.67
4221.6,0.8,2.88,20.83
4225.7,1.1,3.96,15.15
4229.6,1.3,4.68,12.82
4234.0,2.1,7.56,7.94
4238.4,2.1,7.56,7.94
4241.6,2.0,7.2,8.33
4244.9,1.8,6.48,9.26
4248.8,1.4,5.04,11.9
4252.0,1.0,3.6,16.67
4255.4,0.9,3.24,18.52
4258.9,1.1,3.96,15.15
4263.6,1.4,5.04,11.9
4266.7,1.6,5.76,10.42
4272.7,2.0,7.2,8.33
4276.1,2.5,9.0,6.67
4280.1,2.8,10.08,5.95
4284.8,3.6,12.96,4.63
4289.1,3.7,13.32,4.5
4292.8,4.0,14.4,4.17
4296.9,4.2,15.12,3.97
4301.0,4.2,15.12,3.97
4305.1,4.1,14.76,4.07
4309.3,4.0,14.4,4.17
4313.4,4.1,14.76,4.07
4317.6,4.1,14.76,4.07
4321.6,4.1,14.76,4.07
4325.5,4.1,14.76,4.07
4329.1,4.0,14.4,4.17
4332.3,3.8,13.68,4.39
4338.7,3.4,12.24,4.9
4342.8,3.5,12.6,4.76
4347.0,3.6,12.96,4.63
4351.6,3.9,14.04,4.27
4354.8,3.8,13.68,4.39
4359.2,4.1,14.76,4.07
4363.2,4.1,14.76,4.07
4367.5,4.1,14.76,4.07
4371.9,4.1,14.76,4.07
4376.0,4.2,15.12,3.97
4380.0,4.2,15.12,3.97
4384.1,4.2,15.12,3.97
4388.6,4.2,15.12,3.97
4393.4,4.3,15.48,3.88
4398.0,4.4,15.84,3.79
4402.5,4.5,16.2,3.7
4407.1,4.6,16.56,3.62
4411.0,4.5,16.2,3.7
4415.0,4.3,15.48,3.88
4418.7,4.1,14.76,4.07
4422.6,4.0,14.4,4.17
4426.4,3.9,14.04,4.27
4430.2,3.8,13.68,4.39
4434.4,3.9,14.04,4.27
4438.4,3.9,14.04,4.27
4442.5,4.0,14.4,4.17
4446.4,4.0,14.4,4.17
4450.8,4.1,14.76,4.07
4455.8,4.3,15.48,3.88
4460.3,4.4,15.84,3.79
4464.6,4.4,15.84,3.79
4469.0,4.5,16.2,3.7
4473.4,4.5,16.2,3.7
4477.9,4.4,15.84,3.79
4482.8,4.5,16.2,3.7
4487.5,4.6,16.56,3.62
4491.9,4.6,16.56,3.62
4496.0,4.5,16.2,3.7
4500.0,4.4,15.84,3.79
4503.9,4.2,15.12,3.97
4508.1,4.1,14.76,4.07
4512.4,4.1,14.76,4.07
4516.6,4.1,14.76,4.07
4521.0,4.2,15.12,3.97
4525.2,4.3,15.48,3.88
4529.4,4.3,15.48,3.88
4533.6,4.2,15.12,3.97
4538.0,4.3,15.48,3.88
4542.3,4.3,15.48,3.88
4547.0,4.4,15.84,3.79
4551.5,4.4,15.84,3.79
4556.1,4.5,16.2,3.7
4560.8,4.6,16.56,3.62
4565.4,4.6,16.56,3.62
4570.0,4.6,16.56,3.62
4574.9,4.7,16.92,3.55
4579.7,4.7,16.92,3.55
4584.9,4.8,17.28,3.47
4589.7,4.9,17.64,3.4
4594.5,4.9,17.64,3.4
4599.2,4.9,17.64,3.4
4603.8,4.8,17.28,3.47
4608.3,4.7,16.92,3.55
4612.6,4.6,16.56,3.62
4616.8,4.5,16.2,3.7
4621.1,4.4,15.84,3.79
4625.5,4.3,15.48,3.88
4629.0,4.1,14.76,4.07
4633.6,3.4,12.24,4.9
4637.2,3.2,11.52,5.21
4641.2,3.1,11.16,5.38
4645.1,3.2,11.52,5.21
4648.8,3.3,11.88,5.05
4652.3,3.7,13.32,4.5
4655.7,3.7,13.32,4.5
4659.3,3.6,12.96,4.63
4666.2,3.5,12.6,4.76
4670.0,3.5,12.6,4.76
4673.7,3.6,12.96,4.63
4677.5,3.6,12.96,4.63
4681.4,3.7,13.32,4.5
4684.6,3.7,13.32,4.5
4687.7,3.5,12.6,4.76
4691.5,3.6,12.96,4.63
4694.7,3.4,12.24,4.9
4698.0,3.3,11.88,5.05
4702.0,3.5,12.6,4.76
4705.7,3.6,12.96,4.63
4709.2,3.5,12.6,4.76
4714.7,3.3,11.88,5.05
4717.7,3.1,11.16,5.38
4724.8,3.1,11.16,5.38
4728.9,3.3,11.88,5.05
4732.9,3.6,12.96,4.63
4736.1,3.7,13.32,4.5
4741.4,3.3,11.88,5.05
4744.8,3.2,11.52,5.21
4748.3,3.1,11.16,5.38
4751.9,3.2,11.52,5.21
4755.4,3.2,11.52,5.21
4758.9,3.5,12.6,4.76
4762.3,3.5,12.6,4.76
4765.7,3.5,12.6,4.76
4768.8,3.4,12.24,4.9
4772.1,3.3,11.88,5.05
4775.7,3.4,12.24,4.9
4778.8,3.3,11.88,5.05
4784.1,3.1,11.16,5.38
4789.7,2.8,10.08,5.95
4796.2,2.9,10.44,5.75
4800.3,3.2,11.52,5.21
4804.4,3.4,12.24,4.9
4809.7,4.0,14.4,4.17
4814.2,4.1,14.76,4.07
4818.2,4.4,15.84,3.79
4822.0,4.3,15.48,3.88
4827.2,4.6,16.56,3.62
4838.1,5.7,20.52,2.92
4849.1,7.0,25.2,2.38
4853.6,7.1,25.56,2.35
4857.7,7.1,25.56,2.35
4861.3,6.8,24.48,2.45
4864.7,5.3,19.08,3.14
4868.0,3.8,13.68,4.39
4871.8,3.6,12.96,4.63
4875.7,3.6,12.96,4.63
4879.8,3.7,13.32,4.5
4884.0,3.9,14.04,4.27
4888.1,4.0,14.4,4.17
4892.3,4.1,14.76,4.07
4896.7,4.2,15.12,3.97
4900.9,4.2,15.12,3.97
4905.1,4.2,15.12,3.97
4909.3,4.2,15.12,3.97
4913.6,4.3,15.48,3.88
4917.6,4.2,15.12,3.97
4921.6,4.1,14.76,4.07
4925.7,4.1,14.76,4.07
4929.8,4.1,14.76,4.07
4933.7,4.0,14.4,4.17
4937.6,4.0,14.4,4.17
4941.6,4.0,14.4,4.17
4945.5,4.0,14.4,4.17
4949.3,3.9,14.04,4.27
4952.8,3.8,13.68,4.39
4956.5,3.8,13.68,4.39
4960.2,3.7,13.32,4.5
4964.0,3.7,13.32,4.5
4967.8,3.7,13.32,4.5
4972.2,3.9,14.04,4.27
4976.3,4.0,14.4,4.17
4980.1,4.0,14.4,4.17
4983.5,3.9,14.04,4.27
4987.2,3.9,14.04,4.27
4991.3,3.8,13.68,4.39
4995.2,3.8,13.68,4.39
4999.0,3.8,13.68,4.39
5002.9,3.9,14.04,4.27
5007.0,4.0,14.4,4.17
5011.1,4.0,14.4,4.17
5014.9,3.9,14.04,4.27
5018.5,3.9,14.04,4.27
5022.1,3.8,13.68,4.39
5025.9,3.8,13.68,4.39
5029.8,3.7,13.32,4.5
5033.8,3.8,13.68,4.39
5037.8,3.9,14.04,4.27
5041.9,4.0,14.4,4.17
5045.9,4.0,14.4,4.17
5049.9,4.0,14.4,4.17
5053.9,4.0,14.4,4.17
5058.5,4.1,14.76,4.07
5062.9,4.2,15.12,3.97
5067.1,4.2,15.12,3.97
5071.2,4.3,15.48,3.88
5075.2,4.3,15.48,3.88
5079.4,4.2,15.12,3.97
5083.4,4.1,14.76,4.07
5087.3,4.0,14.4,4.17
5091.3,4.0,14.4,4.17
5095.7,4.1,14.76,4.07
5100.7,4.3,15.48,3.88
5105.3,4.4,15.84,3.79
5109.7,4.5,16.2,3.7
5113.9,4.5,16.2,3.7
5118.3,4.5,16.2,3.7
5122.8,4.4,15.84,3.79
5127.2,4.4,15.84,3.79
5131.1,4.3,15.48,3.88
5135.8,4.4,15.84,3.79
5140.4,4.4,15.84,3.79
5144.5,4.3,15.48,3.88
5148.8,4.3,15.48,3.88
5153.0,4.4,15.84,3.79
5157.0,4.2,15.12,3.97
5161.0,4.1,14.76,4.07
5164.4,4.0,14.4,4.17
5167.8,3.8,13.68,4.39
5170.8,3.6,12.96,4.63
5173.9,3.4,12.24,4.9
5177.2,3.2,11.52,5.21
5180.5,3.2,11.52,5.21
5184.0,3.2,11.52,5.21
5187.2,3.3,11.88,5.05
5192.3,3.0,10.8,5.56
5196.2,2.4,8.64,6.94
5200.9,2.3,8.28,7.25
5204.7,2.1,7.56,7.94
5208.8,2.1,7.56,7.94
5212.0,1.9,6.84,8.77
5215.5,1.3,4.68,12.82
5219.1,1.4,5.04,11.9
5222.8,1.5,5.4,11.11
5225.9,1.7,6.12,9.8
5229.0,1.6,5.76,10.42
5232.6,1.6,5.76,10.42
5236.4,1.8,6.48,9.26
5239.4,1.7,6.12,9.8
5243.6,1.4,5.04,11.9
5246.7,1.5,5.4,11.11
5250.3,1.6,5.76,10.42
5253.8,1.7,6.12,9.8
5257.1,1.7,6.12,9.8
5261.9,1.6,5.76,10.42
5265.5,1.7,6.12,9.8
5269.3,1.7,6.12,9.8
5273.5,1.6,5.76,10.42
5278.0,1.4,5.04,11.9
5281.8,1.7,6.12,9.8
5285.8,1.8,6.48,9.26
5290.5,2.1,7.56,7.94
5296.5,2.4,8.64,6.94
5301.6,2.6,9.36,6.41
5305.9,2.6,9.36,6.41
5309.6,2.2,7.92,7.58
5313.5,2.0,7.2,8.33
5318.0,2.0,7.2,8.33
5323.3,2.3,8.28,7.25
5328.1,2.4,8.64,6.94
5332.2,2.4,8.64,6.94
5336.9,2.3,8.28,7.25
5340.3,2.4,8.64,6.94
5343.6,2.6,9.36,6.41
5349.6,2.9,10.44,5.75
5353.8,2.7,9.72,6.17
5358.5,2.5,9.0,6.67
5363.7,2.3,8.28,7.25
5368.9,2.5,9.0,6.67
5373.7,2.5,9.0,6.67
5378.0,2.4,8.64,6.94
5381.9,2.2,7.92,7.58
5386.4,2.1,7.56,7.94
5392.2,2.4,8.64,6.94
5397.3,3.1,11.16,5.38
5402.9,3.5,12.6,4.76
5406.3,4.0,14.4,4.17
5410.3,4.0,14.4,4.17
5414.6,4.5,16.2,3.7
5418.5,4.2,15.12,3.97
5421.8,3.8,13.68,4.39
5425.6,3.9,14.04,4.27
5428.9,3.7,13.32,4.5
5433.6,3.0,10.8,5.56
5439.7,2.8,10.08,5.95
5443.3,2.9,10.44,5.75
5447.0,3.0,10.8,5.56
5450.4,3.4,12.24,4.9
5453.7,3.3,11.88,5.05
5457.4,3.5,12.6,4.76
5461.3,3.6,12.96,4.63
5465.2,3.6,12.96,4.63
5469.3,3.8,13.68,4.39
5473.7,4.0,14.4,4.17
5477.8,4.1,14.76,4.07
5481.5,4.0,14.4,4.17
5485.0,4.0,14.4,4.17
5488.5,3.8,13.68,4.39
5492.3,3.7,13.32,4.5
5496.3,3.7,13.32,4.5
5500.3,3.8,13.68,4.39
5504.4,3.9,14.04,4.27
5508.7,4.0,14.4,4.17
5512.9,4.1,14.76,4.07
5517.2,4.2,15.12,3.97
5521.2,4.2,15.12,3.97
5525.2,4.2,15.12,3.97
5529.4,4.1,14.76,4.07
5533.5,4.1,14.76,4.07
5537.3,4.0,14.4,4.17
5540.8,3.9,14.04,4.27
5544.8,3.9,14.04,4.27
5548.6,3.8,13.68,4.39
5552.3,3.8,13.68,4.39
5556.2,3.8,13.68,4.39
5560.5,3.9,14.04,4.27
5564.6,4.0,14.4,4.17
5569.0,4.1,14.76,4.07
5573.2,4.2,15.12,3.97
5577.4,4.2,15.12,3.97
5581.7,4.2,15.12,3.97
5585.2,4.1,14.76,4.07
5588.9,4.0,14.4,4.17
5592.7,3.9,14.04,4.27
5596.7,3.9,14.04,4.27
5600.9,3.8,13.68,4.39
5605.1,4.0,14.4,4.17
5609.1,4.0,14.4,4.17
5613.4,4.1,14.76,4.07
5617.7,4.2,15.12,3.97
5622.4,4.3,15.48,3.88
5626.9,4.4,15.84,3.79
5631.6,4.5,16.2,3.7
5636.4,4.6,16.56,3.62
5641.2,4.7,16.92,3.55
5646.1,4.7,16.92,3.55
5650.8,4.8,17.28,3.47
5655.0,4.7,16.92,3.55
5659.2,4.6,16.56,3.62
5663.5,4.5,16.2,3.7
5667.8,4.3,15.48,3.88
5671.9,4.2,15.12,3.97
5676.5,4.3,15.48,3.88
5681.7,4.5,16.2,3.7
5686.7,4.6,16.56,3.62
5691.6,4.8,17.28,3.47
5696.4,4.9,17.64,3.4
5701.1,4.9,17.64,3.4
5705.6,4.8,17.28,3.47
5710.0,4.7,16.92,3.55
5714.5,4.6,16.56,3.62
5719.1,4.5,16.2,3.7
5723.3,4.4,15.84,3.79
5727.6,4.4,15.84,3.79
5731.7,4.3,15.48,3.88
5735.7,4.2,15.12,3.97
5740.0,4.2,15.12,3.97
5743.9,4.1,14.76,4.07
5747.4,4.0,14.4,4.17
5750.6,3.8,13.68,4.39
5753.9,3.6,12.96,4.63
5757.9,3.6,12.96,4.63
5762.1,3.6,12.96,4.63
5766.2,3.8,13.68,4.39
5770.4,4.0,14.4,4.17
5774.4,4.1,14.76,4.07
5778.3,4.1,14.76,4.07
5782.0,4.0,14.4,4.17
5785.8,3.9,14.04,4.27
5789.3,3.8,13.68,4.39
5792.4,3.6,12.96,4.63
5795.5,3.4,12.24,4.9
5799.6,3.5,12.6,4.76
5804.5,3.7,13.32,4.5
5809.1,4.0,14.4,4.17
5813.6,4.2,15.12,3.97
5817.9,4.5,16.2,3.7
5821.6,4.4,15.84,3.79
5825.1,4.1,14.76,4.07
5828.9,4.0,14.4,4.17
5832.5,3.8,13.68,4.39
5836.2,3.7,13.32,4.5
5842.3,3.4,12.24,4.9
5845.8,3.4,12.24,4.9
5848.9,3.3,11.88,5.05
5852.5,3.3,11.88,5.05
5856.5,3.4,12.24,4.9
5861.2,3.8,13.68,4.39
5864.8,3.8,13.68,4.39
5868.1,3.8,13.68,4.39
5871.2,3.7,13.32,4.5
5874.4,3.6,12.96,4.63
5877.6,3.3,11.88,5.05
5880.7,3.2,11.52,5.21
5886.6,3.1,11.16,5.38
5890.9,3.3,11.88,5.05
5896.2,3.7,13.32,4.5
5901.2,4.1,14.76,4.07
5906.2,4.3,15.48,3.88
5910.4,4.8,17.28,3.47
5914.0,4.6,16.56,3.62
5917.6,4.3,15.48,3.88
5920.9,3.9,14.04,4.27
5924.0,3.6,12.96,4.63
5929.8,3.2,11.52,5.21
5933.1,3.1,11.16,5.38
5936.8,3.2,11.52,5.21
5940.4,3.3,11.88,5.05
5944.3,3.4,12.24,4.9
5949.6,4.0,14.4,4.17
5954.3,4.2,15.12,3.97
5958.8,4.4,15.84,3.79
5963.9,4.7,16.92,3.55
5969.3,5.0,18.0,3.33
5974.6,5.0,18.0,3.33
5979.0,4.9,17.64,3.4
5983.4,4.9,17.64,3.4
5987.6,4.7,16.92,3.55
5991.6,4.5,16.2,3.7
5995.9,4.3,15.48,3.88
6000.2,4.2,15.12,3.97
6004.1,4.1,14.76,4.07
6008.8,4.2,15.12,3.97
6013.4,4.4,15.84,3.79
6017.9,4.4,15.84,3.79
6022.3,4.4,15.84,3.79
6026.5,4.5,16.2,3.7
6030.6,4.4,15.84,3.79
6035.2,4.4,15.84,3.79
6039.6,4.3,15.48,3.88
6043.6,4.3,15.48,3.88
6047.5,4.2,15.12,3.97
6051.6,4.2,15.12,3.97
6055.9,4.1,14.76,4.07
6060.5,4.2,15.12,3.97
6065.1,4.3,15.48,3.88
6069.5,4.4,15.84,3.79
6073.6,4.4,15.84,3.79
6077.4,4.3,15.48,3.88
6080.9,4.1,14.76,4.07
6084.6,3.9,14.04,4.27
6088.3,3.8,13.68,4.39
6092.2,3.7,13.32,4.5
6096.4,3.8,13.68,4.39
6100.5,3.9,14.04,4.27
6104.7,4.0,14.4,4.17
6108.5,4.0,14.4,4.17
6112.2,4.0,14.4,4.17
6115.5,3.8,13.68,4.39
6119.4,3.8,13.68,4.39
6123.1,3.7,13.32,4.5
6126.9,3.7,13.32,4.5
6131.1,3.8,13.68,4.39
6134.9,3.9,14.04,4.27
6138.8,3.9,14.04,4.27
6143.2,4.0,14.4,4.17
6147.6,4.1,14.76,4.07
6151.7,4.1,14.76,4.07
6155.6,4.1,14.76,4.07
6159.5,4.1,14.76,4.07
6163.7,4.1,14.76,4.07
6168.4,4.2,15.12,3.97
6173.1,4.3,15.48,3.88
6178.3,4.5,16.2,3.7
6183.4,4.8,17.28,3.47
6188.0,4.9,17.64,3.4
6192.7,4.9,17.64,3.4
6197.2,4.8,17.28,3.47
6201.6,4.7,16.92,3.55
6205.7,4.5,16.2,3.7
6209.9,4.4,15.84,3.79
6213.8,4.2,15.12,3.97
6217.8,4.1,14.76,4.07
6221.8,4.0,14.4,4.17
6225.9,4.0,14.4,4.17
6229.6,3.9,14.04,4.27
6233.7,4.0,14.4,4.17
6237.7,4.0,14.4,4.17
6241.7,4.0,14.4,4.17
6245.8,4.0,14.4,4.17
6250.3,4.1,14.76,4.07
6255.0,4.3,15.48,3.88
6259.3,4.3,15.48,3.88
6263.4,4.3,15.48,3.88
6267.5,4.3,15.48,3.88
6272.1,4.4,15.84,3.79
6277.0,4.4,15.84,3.79
6281.8,4.5,16.2,3.7
6286.4,4.6,16.56,3.62
6290.5,4.6,16.56,3.62
6294.2,4.4,15.84,3.79
6297.8,4.2,15.12,3.97
6301.6,4.0,14.4,4.17
6305.5,3.8,13.68,4.39
6310.0,3.9,14.04,4.27
6314.1,4.0,14.4,4.17
6317.6,4.0,14.4,4.17
6320.9,3.9,14.04,4.27
6324.0,3.7,13.32,4.5
6328.9,3.0,10.8,5.56
6332.8,2.4,8.64,6.94
6337.2,2.2,7.92,7.58
6341.6,2.1,7.56,7.94
6344.8,2.0,7.2,8.33
6349.0,1.2,4.32,13.89
6352.1,1.2,4.32,13.89
6356.4,1.5,5.4,11.11
6360.4,1.7,6.12,9.8
6363.7,1.7,6.12,9.8
6368.1,1.5,5.4,11.11
6372.5,1.5,5.4,11.11
6377.0,1.5,5.4,11.11
6380.8,1.4,5.04,11.9
6384.7,1.3,4.68,12.82
6387.9,1.4,5.04,11.9
6391.4,1.5,5.4,11.11
6395.0,1.7,6.12,9.8
6399.2,1.6,5.76,10.42
6403.2,1.6,5.76,10.42
6407.4,1.8,6.48,9.26
6411.7,2.1,7.56,7.94
6415.5,2.1,7.56,7.94
6418.5,1.9,6.84,8.77
6421.8,1.7,6.12,9.8
6426.1,1.5,5.4,11.11
6429.1,1.5,5.4,11.11
6432.2,1.5,5.4,11.11
6436.3,1.7,6.12,9.8
6441.6,2.1,7.56,7.94
6446.9,2.4,8.64,6.94
6452.2,2.6,9.36,6.41
6456.6,2.5,9.0,6.67
6460.8,2.3,8.28,7.25
6464.9,2.1,7.56,7.94
6469.3,2.1,7.56,7.94
6473.6,2.1,7.56,7.94
6478.0,2.2,7.92,7.58
6482.5,2.2,7.92,7.58
6486.3,2.1,7.56,7.94
6491.2,2.2,7.92,7.58
6494.7,2.0,7.2,8.33
6498.4,1.4,5.04,11.9
6502.6,1.6,5.76,10.42
6507.4,1.8,6.48,9.26
6510.6,2.4,8.64,6.94
6516.5,3.0,10.8,5.56
6521.9,3.9,14.04,4.27
6526.5,4.0,14.4,4.17
6530.2,4.6,16.56,3.62
6534.4,4.8,17.28,3.47
6538.6,4.4,15.84,3.79
6543.1,4.2,15.12,3.97
6547.1,4.1,14.76,4.07
6550.6,4.1,14.76,4.07
6554.2,4.0,14.4,4.17
6558.3,3.9,14.04,4.27
6562.2,3.8,13.68,4.39
6565.9,3.8,13.68,4.39
6569.9,3.9,14.04,4.27
6573.5,3.9,14.04,4.27
6576.8,3.7,13.32,4.5
6580.3,3.6,12.96,4.63
6584.1,3.6,12.96,4.63
6588.0,3.6,12.96,4.63
6592.1,3.7,13.32,4.5
6596.5,3.9,14.04,4.27
6600.8,4.1,14.76,4.07
6605.0,4.2,15.12,3.97
6609.2,4.2,15.12,3.97
6613.4,4.3,15.48,3.88
6617.3,4.2,15.12,3.97
6620.9,4.0,14.4,4.17
6624.7,3.9,14.04,4.27
6628.8,3.9,14.04,4.27
6633.0,3.9,14.04,4.27
6636.9,3.9,14.04,4.27
6641.0,4.0,14.4,4.17
6645.0,4.1,14.76,4.07
6649.1,4.1,14.76,4.07
6653.7,4.1,14.76,4.07
6658.1,4.2,15.12,3.97
6662.2,4.2,15.12,3.97
6666.8,4.4,15.84,3.79
6671.7,4.5,16.2,3.7
6676.2,4.5,16.2,3.7
6680.5,4.5,16.2,3.7
6684.9,4.5,16.2,3.7
6689.4,4.5,16.2,3.7
6694.0,4.5,16.2,3.7
6699.0,4.6,16.56,3.62
6703.3,4.6,16.56,3.62
6707.4,4.5,16.2,3.7
6711.2,4.4,15.84,3.79
6715.1,4.2,15.12,3.97
6718.7,3.9,14.04,4.27
6722.8,3.9,14.04,4.27
6727.2,4.0,14.4,4.17
6731.6,4.1,14.76,4.07
6736.1,4.2,15.12,3.97
6740.7,4.4,15.84,3.79
6745.3,4.5,16.2,3.7
6749.7,4.5,16.2,3.7
6754.1,4.5,16.2,3.7
6758.6,4.5,16.2,3.7
6762.6,4.4,15.84,3.79
6766.7,4.3,15.48,3.88
6770.9,4.2,15.12,3.97
6775.1,4.2,15.12,3.97
6779.1,4.1,14.76,4.07
6783.3,4.1,14.76,4.07
6787.8,4.2,15.12,3.97
6791.8,4.2,15.12,3.97
6795.8,4.1,14.76,4.07
6799.9,4.2,15.12,3.97
6803.9,4.1,14.76,4.07
6807.8,4.0,14.4,4.17
6812.1,4.1,14.76,4.07
6816.6,4.2,15.12,3.97
6821.0,4.2,15.12,3.97
6825.4,4.3,15.48,3.88
6830.0,4.4,15.84,3.79
6834.9,4.6,16.56,3.62
6839.4,4.6,16.56,3.62
6844.0,4.6,16.56,3.62
6848.9,4.7,16.92,3.55
6853.6,4.7,16.92,3.55
6858.3,4.7,16.92,3.55
6862.8,4.7,16.92,3.55
6866.2,4.4,15.84,3.79
6869.5,4.1,14.76,4.07
6873.0,3.9,14.04,4.27
6876.4,3.6,12.96,4.63
6880.4,3.5,12.6,4.76
6884.5,3.7,13.32,4.5
6887.9,3.7,13.32,4.5
6891.5,3.7,13.32,4.5
6894.8,3.7,13.32,4.5
6898.2,3.6,12.96,4.63
6901.3,3.4,12.24,4.9
6907.0,3.1,11.16,5.38
6911.2,3.3,11.88,5.05
6915.7,3.5,12.6,4.76
6920.6,3.9,14.04,4.27
6925.3,4.0,14.4,4.17
6929.4,4.5,16.2,3.7
6933.1,4.4,15.84,3.79
6937.2,4.3,15.48,3.88
6941.1,4.1,14.76,4.07
6945.4,4.0,14.4,4.17
6949.3,4.0,14.4,4.17
6952.7,3.9,14.04,4.27
6958.7,3.5,12.6,4.76
6962.4,3.4,12.24,4.9
6965.8,3.3,11.88,5.05
6969.3,3.3,11.88,5.05
6973.3,3.4,12.24,4.9
6977.1,3.7,13.32,4.5
6980.3,3.6,12.96,4.63
6983.7,3.6,12.96,4.63
6987.3,3.6,12.96,4.63
6990.9,3.5,12.6,4.76
6994.9,3.6,12.96,4.63
6999.0,3.7,13.32,4.5
7003.1,3.9,14.04,4.27
7006.8,3.9,14.04,4.27
7012.1,4.2,15.12,3.97
7016.2,4.3,15.48,3.88
7019.6,4.1,14.76,4.07
7022.6,3.9,14.04,4.27
7025.7,3.8,13.68,4.39
7029.2,3.4,12.24,4.9
7032.2,3.2,11.52,5.21
7037.3,2.9,10.44,5.75
7040.6,3.0,10.8,5.56
7043.9,2.9,10.44,5.75
7047.4,3.0,10.8,5.56
7051.5,3.2,11.52,5.21
7055.5,3.6,12.96,4.63
7060.3,3.9,14.04,4.27
7065.8,4.4,15.84,3.79
7070.5,4.6,16.56,3.62
7075.3,4.8,17.28,3.47
7080.2,4.9,17.64,3.4
7085.1,5.0,18.0,3.33
7089.7,4.8,17.28,3.47
7093.6,4.6,16.56,3.62
7097.4,4.4,15.84,3.79
7100.8,4.1,14.76,4.07
7104.5,3.9,14.04,4.27
7108.1,3.7,13.32,4.5
7111.9,3.7,13.32,4.5
7115.7,3.7,13.32,4.5
7119.7,3.8,13.68,4.39
7124.8,4.1,14.76,4.07
7129.4,4.3,15.48,3.88
7133.8,4.4,15.84,3.79
7138.3,4.5,16.2,3.7
7142.7,4.6,16.56,3.62
