m,m/s,km/h,min/km
923.1,3.6,12.96,4.63
928.8,4.1,14.76,4.07
934.8,4.4,15.84,3.79
940.8,5.2,18.72,3.21
945.0,5.3,19.08,3.14
951.1,5.6,20.16,2.98
957.2,5.7,20.52,2.92
961.4,5.3,19.08,3.14
966.3,5.1,18.36,3.27
969.9,5.0,18.0,3.33
974.0,4.6,16.56,3.62
977.3,4.0,14.4,4.17
981.0,3.9,14.04,4.27
1009.1,7.8,28.08,2.14
1013.5,7.2,25.92,2.31
1018.1,6.2,22.32,2.69
1021.7,1.4,5.04,11.9
1025.2,1.2,4.32,13.89
1030.8,1.6,5.76,10.42
1034.8,2.6,9.36,6.41
1038.7,2.8,10.08,5.95
1042.4,3.4,12.24,4.9
1045.4,3.4,12.24,4.9
1049.0,2.8,10.08,5.95
1052.1,1.9,6.84,8.77
1056.0,1.8,6.48,9.26
1059.4,2.1,7.56,7.94
1062.6,2.3,8.28,7.25
1065.7,2.7,9.72,6.17
1070.5,2.9,10.44,5.75
1076.1,2.7,9.72,6.17
1079.3,2.7,9.72,6.17
1086.5,3.2,11.52,5.21
1091.3,3.5,12.6,4.76
1095.6,3.9,14.04,4.27
1099.8,4.1,14.76,4.07
1105.3,3.8,13.68,4.39
1109.2,3.6,12.96,4.63
1113.4,3.6,12.96,4.63
1117.2,3.5,12.6,4.76
1121.0,3.5,12.6,4.76
1124.9,3.9,14.04,4.27
1129.8,3.3,11.88,5.05
1133.1,2.4,8.64,6.94
1138.5,2.3,8.28,7.25
1146.2,2.7,9.72,6.17
1151.3,3.6,12.96,4.63
1155.8,3.8,13.68,4.39
1161.0,3.8,13.68,4.39
1165.2,2.8,10.08,5.95
1171.2,1.1,3.96,15.15
1174.6,1.2,4.32,13.89
1182.8,0.4,1.44,41.67
1185.2,0.3,1.08,55.56
1188.7,0.4,1.44,41.67
1193.2,0.6,2.16,27.78
1197.2,0.7,2.52,23.81
1201.7,0.9,3.24,18.52
1206.3,1.2,4.32,13.89
1211.9,1.5,5.4,11.11
1217.4,1.5,5.4,11.11
1222.9,5.1,18.36,3.27
1228.8,5.4,19.44,3.09
1234.0,5.5,19.8,3.03
1239.2,5.5,19.8,3.03
1244.0,5.3,19.08,3.14
1248.8,5.2,18.72,3.21
1253.5,4.9,17.64,3.4
1258.3,4.9,17.64,3.4
1263.5,4.9,17.64,3.4
1267.7,4.7,16.92,3.55
1272.2,4.7,16.92,3.55
1275.8,4.5,16.2,3.7
1279.8,4.3,15.48,3.88
1283.4,4.0,14.4,4.17
1286.7,3.8,13.68,4.39
1290.4,3.6,12.96,4.63
1294.6,3.0,10.8,5.56
1299.2,3.2,11.52,5.21
1302.9,3.2,11.52,5.21
1306.7,3.3,11.88,5.05
1311.6,3.5,12.6,4.76
1315.6,4.2,15.12,3.97
1319.3,4.0,14.4,4.17
1324.1,3.5,12.6,4.76
1327.8,2.4,8.64,6.94
1333.6,2.4,8.64,6.94
1337.3,2.6,9.36,6.41
1340.4,2.7,9.72,6.17
1344.9,3.4,12.24,4.9
1349.6,3.6,12.96,4.63
1354.0,4.1,14.76,4.07
1357.3,4.0,14.4,4.17
1360.5,4.0,14.4,4.17
1365.9,3.3,11.88,5.05
1370.9,3.4,12.24,4.9
1374.3,3.4,12.24,4.9
1378.7,3.6,12.96,4.63
1382.8,3.7,13.32,4.5
1387.3,4.3,15.48,3.88
1391.6,4.1,14.76,4.07
1394.7,4.1,14.76,4.07
1398.2,3.9,14.04,4.27
1401.3,3.7,13.32,4.5
1404.4,3.4,12.24,4.9
1409.6,3.0,10.8,5.56
1415.6,2.9,10.44,5.75
1420.2,3.2,11.52,5.21
1423.8,3.2,11.52,5.21
1428.6,3.8,13.68,4.39
1432.6,3.4,12.24,4.9
1437.2,3.4,12.24,4.9
1440.8,3.4,12.24,4.9
1444.3,3.1,11.16,5.38
1448.5,3.2,11.52,5.21
1453.9,2.6,9.36,6.41
1458.9,2.9,10.44,5.75
1464.3,3.3,11.88,5.05
1469.4,4.2,15.12,3.97
1476.2,4.6,16.56,3.62
1479.5,5.1,18.36,3.27
